district_code,state,district_num,pres16_total,pres16_dem,pres16_rep,comp16-20_total,comp16-20_dem,comp16-20_rep,pres20_total,pres20_dem,pres20_rep,pres24_total,pres24_dem,pres24_rep,pop_adj_asian,pop_adj_black,pop_adj_hispanic,pop_adj_native,pop_adj_pacific,pop_adj_total,pop_adj_white,vap_total,vap_white,vap_hispanic,vap_black,vap_asian,vap_native,vap_pacific,x_22_2022_age_age_0_9,x_22_2022_age_age_10_19,x_22_2022_age_age_20_29,x_22_2022_age_age_30_39,x_22_2022_age_age_40_49,x_22_2022_age_age_50_59,x_22_2022_age_age_60_69,x_22_2022_age_age_70_79,x_22_2022_age_age_o79,x_22_2022_education_assoc,x_22_2022_education_bach,x_22_2022_education_doc,x_22_2022_education_hs,x_22_2022_education_master,x_22_2022_education_nohs,x_22_2022_education_prof,x_22_2022_education_somecol,x_22_2022_household_income_100_125k,x_22_2022_household_income_10_15k,x_22_2022_household_income_125_150k,x_22_2022_household_income_150_200k,x_22_2022_household_income_15_20k,x_22_2022_household_income_20_25k,x_22_2022_household_income_25_30k,x_22_2022_household_income_30_35k,x_22_2022_household_income_35_40k,x_22_2022_household_income_40_45k,x_22_2022_household_income_45_50k,x_22_2022_household_income_50_60k,x_22_2022_household_income_60_75k,x_22_2022_household_income_75_100k,x_22_2022_household_income_o200k,x_22_2022_household_income_u10k
MS-01,MS,1,301502,96616,198299,230992,80876,147524,333730,111535,217292,324051,99871,219880,9993,211581,28356,11778,711,740319,478666,570086,381596,17747,154218,7178,8903,476,90731,107653,99069,93291,92311,91550,85793,55791,25372,51158,70726,5292,152537,31097,69108,6495,105072,26533,15612,16326,17102,14062,14627,12465,13043,12827,11574,11469,21060,26845,37227,13614,16761
MS-02,MS,2,324055,201803,117922,243901,155585,86487,333313,208181,121247,286655,171061,112641,5786,477741,16923,8335,546,740319,235188,571715,196358,11932,355293,4341,6097,352,92259,105019,99208,90495,85792,92185,92591,53426,27355,49617,63053,4316,149584,30097,81328,6578,106255,16253,24169,10458,10861,17909,18147,18119,15050,13607,12253,11855,21205,23309,29540,9272,25854
MS-03,MS,3,317517,111864,199550,246767,94604,149752,344969,128372,212292,323422,112896,207370,11518,253094,20969,16845,619,740320,438840,568068,350071,13512,184901,8337,11501,432,88243,105833,100617,93049,90075,89241,87739,54233,28057,51683,80453,7971,136570,37290,62487,9848,102430,23378,16361,16233,17589,15206,13961,12614,12463,12091,12007,11475,19928,25867,33122,16344,21724
MS-04,MS,4,266283,74848,184943,204682,64870,137104,301747,91310,205933,293879,82839,207853,17634,181197,38972,16771,1359,740321,486383,567730,387426,25446,128668,12861,12580,954,90073,102596,99654,96067,89852,92123,88663,56886,25954,56659,71900,4686,148091,33187,58176,7082,117496,24513,16017,15808,15715,14632,14340,13211,13276,12303,12217,12688,21878,27222,35205,13785,19088
MT-01,MT,1,252193,101342,131086,294993,138473,149630,316599,143417,165186,322069,137407,174611,9018,5120,22181,40729,1406,542112,459816,432021,374714,15436,3109,6308,27900,952,55444,67442,80361,70602,64149,64897,75185,48934,20289,34439,91966,7677,99857,33231,19476,9156,85641,20998,10089,13503,15520,8059,9390,10392,9386,8864,9304,9329,16858,23774,30263,17024,10653
MT-02,MT,2,242333,76367,148154,270164,102214,161717,287041,101369,178416,280894,94499,177468,7871,7617,23018,59849,1695,542113,441502,418102,352839,14472,4333,5247,38234,1016,66849,69532,64683,69476,61800,66330,75900,46687,23280,37799,78583,4306,111081,26102,22405,6606,89875,21553,8937,14568,15773,8163,8790,9527,9544,9694,8984,9084,17658,22968,30528,14906,9834
NC-01,NC,1,376463,174505,191843,398155,186555,204892,413926,190436,218891,416845,182065,230368,11397,251298,42659,17872,1423,745671,426065,596783,356476,27614,192997,7888,13381,1003,79795,91121,85610,82978,86402,101174,112003,74177,35268,55539,79253,3910,168086,33220,66241,6173,123303,27540,18146,17010,17371,16060,15145,15374,15242,12853,14087,12391,24814,29019,38551,14014,18082
NC-02,NC,2,356956,221522,116605,390782,254289,126698,411630,274360,129367,413074,271772,132620,52943,188408,96435,14818,1220,745670,400547,584067,332722,64157,140209,40031,10815,824,84010,94984,117190,115385,103483,93421,72593,41550,20575,40321,165733,12756,81541,74797,35373,16296,82791,30371,7186,23215,30853,7207,9739,7717,11066,10194,10735,9148,21473,25599,37241,43178,10964
NC-03,NC,3,305369,136203,159872,326076,148641,170908,340722,153774,182097,346080,147604,194722,17748,228142,92928,18697,2600,745670,396511,576660,323933,60800,169543,12771,13433,1813,94608,102796,135693,94143,81218,82705,80819,49715,24531,54340,70534,4156,140460,27427,62206,4991,104364,22805,16852,16100,13175,14637,13873,14593,14599,14726,15345,13293,23568,29659,37661,11112,18803
NC-04,NC,4,357301,246910,92998,396893,281375,106823,420149,303334,109939,436896,312412,115447,91532,162837,85915,14955,1034,745671,395824,574606,320577,56330,124857,64835,10683,736,87620,105288,102823,109176,105246,90108,77471,44249,20968,37055,154185,26967,67665,92455,33438,21878,65186,30841,6601,22962,32428,7199,8372,8064,8971,9020,8324,8847,17771,24100,33365,49170,11495
